,no,song,movie,year,singers,lyricist,composer
1744,1745,Alassa Kolassa ...,Sahayaathrikaykku Snehapoorvam,2000,"KJ Yesudas, KS Chithra",S Ramesan Nair,Mohan Sithara
1745,1746,Anaadiyaam ...,Sahayaathrikaykku Snehapoorvam,2000,KS Chithra,S Ramesan Nair,Mohan Sithara
1746,1747,Snehaswaroopanaam ...,Priyam,2000,"KS Chithra, Baiju Chacko",S Ramesan Nair,Berny Ignatius
1747,1748,Kunnimani ...,Priyam,2000,"KJ Yesudas, KS Chithra",S Ramesan Nair,Berny Ignatius
1748,1749,Katturumbinu ...,Priyam,2000,"KJ Yesudas, KS Chithra, George Peter, Jyothi Menon",S Ramesan Nair,Berny Ignatius
1749,1750,Dhum Dhum Dhum Dooreyetho ...,Raakkilippaattu,2007,"KS Chithra, Sujatha Mohan, Sangeetha (New)",Gireesh Puthenchery,Vidyasagar
1750,1751,Omanathinkal ...,Raakkilippaattu,2007,"KS Chithra, Sujatha Mohan, Sangeetha (New)",Gireesh Puthenchery,Vidyasagar
1751,1752,Shaarike Ninnekkaanaan ...,Raakkilippaattu,2007,"KS Chithra, Sujatha Mohan, Sangeetha (New)",K Jayakumar,Vidyasagar
1752,1753,Kinnaarathumbikal ...,Kinnaarathumbikal,2000,KS Chithra,Sreekumaran Thampi,Mano Bhaskar
1753,1754,Etho Chaithra Varnangal Peyyum Sandhyayil ...,Mazhanoolkkanavu,2003,"KS Chithra, Sreenivas",Kaithapram,Thej Mervin
1754,1755,Etho Chaithra (F) ...,Mazhanoolkkanavu,2003,KS Chithra,Kaithapram,Thej Mervin
1755,1756,Kenu Mayangeeyo ...,Kallukondoru Pennu,2000,KS Chithra,ONV Kurup,Ilayaraja
1756,1757,Thithaaram Thayaaram [D] ...,Kallukondoru Pennu,2000,"KS Chithra, MG Sreekumar",ONV Kurup,Ilayaraja
1757,1758,Guru Brahma (Slokam) ...,Kallukondoru Pennu,2000,KS Chithra,ONV Kurup,Ilayaraja
1758,1759,Manjinte ...,Mazha,2000,KS Chithra,K Jayakumar,Raveendran
1759,1760,Himashaila ...,Mazha,2000,"KJ Yesudas, KS Chithra, Arundhathi",Kaithapram,Raveendran
1760,1761,Vaarmukile ...,Mazha,2000,KS Chithra,Yusufali Kecheri,Raveendran
1761,1762,Aashaadham ...,Mazha,2000,"KJ Yesudas, KS Chithra",K Jayakumar,Raveendran
1762,1763,Kaanappoonkuyil Oru Kavitha [D] ...,Mele Vaaryathe Maalaakhakkuttikal,2000,"KJ Yesudas, KS Chithra",S Ramesan Nair,Berny Ignatius
1763,1764,Theyyam Kaattil Thekkan Kaattil ...,Mele Vaaryathe Maalaakhakkuttikal,2000,"KS Chithra, Ranjini Jose, Santhosh Keshav, Abhirami",S Ramesan Nair,Berny Ignatius
1764,1765,Thaliridum ...,Ival Draupadi,2000,KS Chithra,Gireesh Puthenchery,Rajamani
1765,1766,Nunachi Penne ...,Ival Draupadi,2000,"KS Chithra, Sunil Kumar P K, Viswanath",Gireesh Puthenchery,Rajamani
1766,1767,Pakalppakshi ...,Ival Draupadi,2000,"KJ Yesudas, KS Chithra",Gireesh Puthenchery,Perattupuram Madhu
1767,1768,Pachappavizha (Ente Thenkaasi) ...,Thenkaashippattanam,2000,"KS Chithra, Suresh Peters",Kaithapram,Suresh Peters
1768,1769,Manassin Manichimizhil ...,Arayannangalude Veedu,2000,KS Chithra,Gireesh Puthenchery,Raveendran
