,no,song,movie,year,singers,lyricist,composer
558,559,Hello This is Johny ...,Rajaneegandhi,1980,"P Jayachandran, Chorus, Latha Raju",Yusufali Kecheri,G Devarajan
559,560,Akkare Ninnoru ...,Kaavalmaadam,1980,P Jayachandran,Sathyan Anthikkad,AT Ummer
560,561,Aanandam ...,Pralayam,1980,"P Jayachandran, Ambili, Chorus",Sathyan Anthikkad,AT Ummer
561,562,Aathmadeepam ...,Pralayam,1980,P Jayachandran,Sathyan Anthikkad,AT Ummer
562,563,Ore Paathayil ...,Vaiki Vanna Vasantham,1980,"P Susheela, P Jayachandran",Sreekumaran Thampi,Shyam
563,564,Ee vada kando sakhakkale ...,Vaiki Vanna Vasantham,1980,P Jayachandran,Sreekumaran Thampi,Shyam
564,565,Vilikkaathirunnaalum ...,Ishtamaanu Pakshe,1980,"KJ Yesudas, P Jayachandran, P Madhuri",Alappuzha Rajasekharan Nair,G Devarajan
565,566,Oru Sundarithan ...,Digvijayam,1980,"P Jayachandran, P Madhuri, Karthikeyan",P Bhaskaran,G Devarajan
566,567,Panchami Raavil (Kaamante) ...,Digvijayam,1980,"P Jayachandran, P Madhuri, Karthikeyan",P Bhaskaran,G Devarajan
567,568,Nirangalil Neeraadunna Bhoomi ...,Swanthamenna Padam,1980,"P Jayachandran, Vani Jairam",Sreekumaran Thampi,Shyam
568,569,Sarvamangala Maangalye [Bit] ...,Swanthamenna Padam,1980,P Jayachandran,,Shyam
569,570,Kannukal kannukal ...,Shaalini Ente Koottukaari,1980,"P Jayachandran, Vani Jairam",MD Rajendran,G Devarajan
570,571,Doore Pranaya Kavitha ...,Deepam,1980,P Jayachandran,Sathyan Anthikkad,Shyam
571,572,Saandeepaniyude ...,Avan Oru Ahankaari,1980,"P Jayachandran, Chorus",Bichu Thirumala,MS Viswanathan
572,573,Kudamullakkaavile ...,Karipuranda Jeevithangal,1980,"P Jayachandran, Ambili",Chirayinkeezhu Ramakrishnan Nair,MK Arjunan
573,574,Priyane Ninakkayi ...,Prakadanam,1980,"P Jayachandran, P Madhuri",Poovachal Khader,G Devarajan
574,575,Kannilkkannil Nokkiyirikkam ...,Naayaattu,1980,"P Jayachandran, Vani Jairam",Sreekumaran Thampi,Shyam
575,576,Thaalikkuruvee Thenkuruvee ...,Muthuchippikal,1980,P Jayachandran,AP Gopalan,KJ Joy
576,577,Ranjini Ranjini ...,Muthuchippikal,1980,"P Susheela, P Jayachandran","AP Gopalan, Muringoor Sankaran Potti","Traditional, KJ Joy"
577,578,Ajantha Shilpangalil ...,Manushyamrigam,1980,"S Janaki, P Jayachandran, Chorus",Pappanamkodu Lakshmanan,KJ Joy
578,579,Palissakaaran Pathrose ...,Benz Vasu,1980,P Jayachandran,B Manikyam,AT Ummer
579,580,Thappu kotti ...,Aagamanam,1980,"P Jayachandran, Chorus, Usha Ravi",ONV Kurup,Vidyadharan Master
580,581,Achaninnale Vallaathorakkidi ...,Youvanam Daaham,1980,P Jayachandran,Kaniyapuram Ramachandran,MG Radhakrishnan
581,582,Thathamma ...,Abhimanyu,1980,"P Jayachandran, Vani Jairam",Sathyan Anthikkad,AT Ummer
582,583,Ragasamrajyadevalayathile ...,Raajanarthaki,1980,P Jayachandran,P Bhaskaran,MK Arjunan
583,584,Sreemoola Bhagavathi ...,Sreedevi Darsanam,1980,P Jayachandran,,G Devarajan
584,585,Prabhaathamenikku nee ...,Seetha,1980,P Jayachandran,Sreekumaran Thampi,MK Arjunan
585,586,Ariyaatha Pushpavum ...,Thirakal Ezhuthiya Kavitha,1980,P Jayachandran,Mankombu Gopalakrishnan,MS Viswanathan
586,587,Parippuvada thiruppan ...,Dwandayudham,1981,"KJ Yesudas, P Jayachandran",P Bhaskaran,Jerry Amaldev
587,588,Aa Malarvaadiyil Enneyum Nokki ...,Thaalam Manassinte Thaalam,1981,P Jayachandran,Devadas,G Devarajan
588,589,Vipina vaadika ...,Inayethedi,1981,P Jayachandran,RK Damodaran,Johnson
589,590,Maadaka lahari pathanju ...,Choothaattam (Ivide Jeevitham Aarambhikkunnu),1981,"P Jayachandran, Lathika",Chunakkara Ramankutty,Shyam
590,591,Hridaya Mohangal ...,Ira Thedunna Manushyar,1981,"P Jayachandran, P Madhuri",Chunakkara Ramankutty,G Devarajan
591,592,Achan Sundara Sooryan ...,Swarangal Swapnangal,1981,"P Jayachandran, P Madhuri, Kalyani Menon, Latha Raju",AP Gopalan,G Devarajan
592,593,Thaalangal Punyam Thedum ...,Grihalakshmi,1981,"P Jayachandran, Vani Jairam",Sreekumaran Thampi,Shyam
593,594,Kannukalil Kannukal ...,Grihalakshmi,1981,"P Jayachandran, Vani Jairam, Chorus",Sreekumaran Thampi,Shyam
594,595,Ente Pularkaalam ...,Garjanam,1981,"S Janaki, P Jayachandran",Sreekumaran Thampi,Ilayaraja
595,596,Thamburaatti Nin Kottaarathil ...,Garjanam,1981,P Jayachandran,Sreekumaran Thampi,Ilayaraja
596,597,Oru Theril ...,Garjanam,1981,"P Jayachandran, Chorus",Sreekumaran Thampi,Ilayaraja
597,598,Oru Mohathin ...,Garjanam,1981,"S Janaki, P Jayachandran",Sreekumaran Thampi,Ilayaraja
598,599,Vannathu Nallathu Nalla Dinam ...,Garjanam,1981,"S Janaki, P Jayachandran, Chorus",Sreekumaran Thampi,Ilayaraja
599,600,Kandu Kandarinju ...,Sangharsham,1981,"S Janaki, P Jayachandran",Bichu Thirumala,Shankar Ganesh
600,601,Valakilukkam kelkkanallo ...,Sphodanam,1981,"P Jayachandran, Vani Jairam, B Vasantha, Jolly Abraham",ONV Kurup,Shankar Ganesh
601,602,Poo Chirichu Pinne Nee Chirichu ...,Agnisharam,1981,"P Jayachandran, Swarna",Sreekumaran Thampi,MK Arjunan
602,603,Etho gaanam pole ...,Dantha Gopuram,1981,"P Jayachandran, Vani Jairam",Sathyan Anthikkad,Shyam
603,604,Mazhayo Manjo ...,Theekkali,1981,"P Jayachandran, P Madhuri",MD Rajendran,G Devarajan
604,605,Suruma Varachoru ...,Kaattukallan,1981,P Jayachandran,Mankombu Gopalakrishnan,AT Ummer
605,606,Ninte neelamizhikal ...,Vaadaka Veettile Athidhi (Swapnam Viriyunna Raavukal),1981,P Jayachandran,Shashikala,MK Arjunan
606,607,Sougandhikangale Vidaruvin ...,Pathiraasooryan,1981,P Jayachandran,Sreekumaran Thampi,V Dakshinamoorthy
607,608,Paavunangi kalamorungi ...,Arikkaari Ammu,1981,"P Jayachandran, Vani Jairam, Chorus",Sreekumaran Thampi,V Dakshinamoorthy
608,609,Odum thira onnaam thira ...,Aakramanam,1981,"P Jayachandran, Chorus, Jolly Abraham, Sherin Peters",Sreekumaran Thampi,Shyam
609,610,Aakaasham Niraye deepaavali ...,Ithihaasam,1981,"P Jayachandran, Vani Jairam",Pappanamkodu Lakshmanan,KJ Joy
610,611,Doore Doore Doore ...,Arayannam,1981,P Jayachandran,P Bhaskaran,Pukazhenthi
611,612,Cheruvalli chempalli ...,Kolilakkam,1981,"P Jayachandran, Ambili, KP Brahmanandan",Bichu Thirumala,MS Viswanathan
612,613,Oro nimishavum ...,Archana Teacher,1981,"S Janaki, P Jayachandran",Sreekumaran Thampi,Shyam
613,614,Kollam kandaal illam venda ...,Swarnnappakshikal,1981,"P Jayachandran, Chorus",Mullanezhi,Raveendran
614,615,Ente Swapnaveenayil ...,Randu Mukhangal,1981,P Jayachandran,Appan Thachethu,MK Arjunan
615,616,Paalkkudamenthiya Raavu ...,Greeshmajwaala,1981,P Jayachandran,Poovachal Khader,AT Ummer
616,617,Ushamalarikal ...,Kalopaasana,1981,P Jayachandran,Chowalloor Krishnankutty,K Raghavan
617,618,Kurunirayo ...,Parvathy,1981,"P Jayachandran, Vani Jairam",MD Rajendran,Johnson
618,619,Lola Thanthrikal ...,Veshangal,1981,P Jayachandran,Poovachal Khader,Shyam
619,620,Makara maasa ...,Changaadam,1981,"P Jayachandran, Vani Jairam",AD Rajan,K Raghavan
620,621,Irul nirayum ...,Changaadam,1981,P Jayachandran,AD Rajan,K Raghavan
621,622,Thirayude Chilankakal ...,Panchapaandavar,1981,"P Susheela, P Jayachandran",Sreekumaran Thampi,MS Viswanathan
622,623,Ninte Chiriyo ...,Panchapaandavar,1981,P Jayachandran,Sreekumaran Thampi,MS Viswanathan
623,624,Mayilppeeli Prasavichu ...,Rajani,1981,P Jayachandran,Vayalar,G Devarajan
624,625,Eeshwarante ...,Oru Thalai Ragam,1981,P Jayachandran,Mankombu Gopalakrishnan,"T Rajendar, AA Raj"
625,626,Aa Poovanathilum ...,Jeevikkaan Padikkanam,1981,"P Jayachandran, Vani Jairam",Sreekumaran Thampi,C Arjunan
626,627,Ambeyyaan ...,Jeevikkaan Padikkanam,1981,"P Jayachandran, SP Shailaja",Sreekumaran Thampi,C Arjunan
627,628,Sindooracheppu Thatti Marinju ...,Kaamashaasthram,1981,P Jayachandran,"Biju, Joy Mathew",V Viswanathan
628,629,Swargamaarggam ...,Kaamashaasthram,1981,P Jayachandran,"Biju, Joy Mathew",V Viswanathan
629,630,Pazhayoru Fiat ...,Kaamashaasthram,1981,P Jayachandran,"Biju, Joy Mathew",V Viswanathan
630,631,Maarolsavam ...,Aa Raathri,1983,"P Jayachandran, Krishnachandran, Dr Kalyanam",Poovachal Khader,Ilayaraja
631,632,Ilam Pennin ...,Ankachamayam,1982,P Jayachandran,Mankombu Gopalakrishnan,G Devarajan
632,633,Ullil Pookkum Poonchola ...,Sooryan,1982,"P Jayachandran, Vani Jairam",Kavalam Narayana Panicker,Johnson
633,634,Poovirinjilla ...,Ina,1982,"S Janaki, P Jayachandran",Bichu Thirumala,AT Ummer
634,635,Muthuppanthal mullappanthal ...,Kazhumaram,1982,"P Jayachandran, Vani Jairam",Bichu Thirumala,Shankar Ganesh
635,636,Maanmizhiyaal manam kavarnnu ...,Naagamadathu Thampuraatti,1982,P Jayachandran,Devadas,MK Arjunan
636,637,Mootta Mootta Mootta... Mootta kudikkunne ...,Ethiraalikal,1982,"P Jayachandran, CO Anto",Poovachal Khader,AT Ummer
637,638,Maasam maadhavamaasam ...,Aranjaanam,1982,"P Jayachandran, Vani Jairam",P Bhaskaran,KJ Joy
638,639,Ee Mukham ...,Aakrosham,1982,"P Jayachandran, Vani Jairam",Sreekumaran Thampi,Ben Surendar
639,640,Neelamalappoonkuyile ...,Ponnum Poovum,1982,P Jayachandran,P Bhaskaran,K Raghavan
640,641,Omar Khayyaam Varu ...,Ankuram,1982,"P Jayachandran, KP Brahmanandan",ONV Kurup,MS Viswanathan
641,642,Manushyan ...,Ankuram,1982,P Jayachandran,ONV Kurup,MS Viswanathan
642,643,Thuyilunaru ...,Ankuram,1982,"P Susheela, P Jayachandran, Chorus",ONV Kurup,MS Viswanathan
643,644,Innale Ennathu ...,Madrasile Mon,1982,"P Jayachandran, Chorus",AP Gopalan,G Devarajan
644,645,Krishna Nee Varumo ...,Kuyilinethedi,1983,"KJ Yesudas, P Jayachandran",Chunakkara Ramankutty,Shyam
645,646,Ambili Manavatti azhakulla manavaatti ...,Ee Naadu,1982,"KJ Yesudas, S Janaki, P Jayachandran, CO Anto, JM Raju, SP Shailaja",Yusufali Kecheri,Shyam
646,647,Aaalekkandaal Paavam ...,Paanchajanyam,1982,"P Jayachandran, Vani Jairam, Renuka Girijan",Mankombu Gopalakrishnan,Shankar Ganesh
647,648,John Jaffer Janaardanan ...,John Jaffer Janaardanan,1982,"KJ Yesudas, P Jayachandran, Unni Menon, Kalyani Menon",Sreekumaran Thampi,Shyam
648,649,Vidarnnu thozhukai ...,John Jaffer Janaardanan,1982,"KJ Yesudas, S Janaki, P Susheela, P Jayachandran, Unni Menon, Kalyani Menon",Sreekumaran Thampi,Shyam
649,650,Jwalichu ...,Maattuvin Chattangale,1982,"P Susheela, P Jayachandran",Mankombu Gopalakrishnan,Shankar Ganesh
650,651,Thenmazha ...,Ruby My Darling,1982,P Jayachandran,Mankombu Gopalakrishnan,T Rajendar
651,652,Ilayillaamarangalil ...,Ruby My Darling,1982,P Jayachandran,Madhu Alappuzha,T Rajendar
652,653,Naanam nin kannil ...,Kelkkaatha Shabdam,1982,"P Jayachandran, Vani Jairam",Devadas,Johnson
653,654,Ambili Maanathu ...,Amrithageetham,1982,"P Susheela, P Jayachandran, Chorus, D Latha",Mullanezhi,G Devarajan
654,655,Karayil pidichitta ...,Drohi,1982,P Jayachandran,Mankombu Gopalakrishnan,AT Ummer
655,656,Myaavu Myaavu Kurinjippoocha ...,Veedu,1982,P Jayachandran,Yusufali Kecheri,G Devarajan
656,657,Ellaam Ormakal ...,Oru Vilippaadakale,1982,"S Janaki, P Jayachandran",P Bhaskaran,Jerry Amaldev
657,658,Samaya Radhangalil ...,Chiriyo Chiri,1982,"KJ Yesudas, P Jayachandran",Bichu Thirumala,Raveendran
658,659,Iniyumethu theeram ...,Pooviriyum Pulari,1982,P Jayachandran,Poovachal Khader,Jerry Amaldev
659,660,Premathin maniveenayil ...,Pooviriyum Pulari,1982,"P Jayachandran, Vani Jairam",Poovachal Khader,Jerry Amaldev
660,661,Kandu ninne sundarippenne ...,Pooviriyum Pulari,1982,"P Jayachandran, Vani Jairam",Poovachal Khader,Jerry Amaldev
661,662,Leelarangam ...,Sindoorasandhyaykku Mounam,1982,"S Janaki, P Jayachandran",Bichu Thirumala,Shyam
662,663,Mailaanchi ...,Aayudham,1982,"S Janaki, P Jayachandran, Kalyani Menon",Sathyan Anthikkad,AT Ummer
663,664,Good Morning ...,Chilanthivala,1982,"P Jayachandran, Vani Jairam",Poovachal Khader,Guna Singh
664,665,Kaanchananoopuram Kilungunnu ...,Chilanthivala,1982,P Jayachandran,Poovachal Khader,Guna Singh
665,666,Premabhishekam Premathin Pattabhihekam ...,Premaabhishekam,1982,"P Jayachandran, Kalyani Menon",Poovachal Khader,Gangai Amaran
666,667,Puzhayoram Kuyil Paadi ...,Kaalam,1982,"P Jayachandran, Vani Jairam",Bichu Thirumala,Shankar Ganesh
667,668,Dukhathin Kaippillaathe ...,Innallenkil Naale,1982,"KJ Yesudas, P Jayachandran, Zero Babu",Yusufali Kecheri,Shyam
668,669,Ente kadha ninte kadha ...,Ithu Njangalude Kadha,1982,"P Jayachandran, JM Raju",P Bhaskaran,Johnson
669,670,Shaaleena bhaavathil ...,Thuranna Jail,1982,"P Jayachandran, Vani Jairam",Poovachal Khader,Johnson
670,671,Mrudule itha oru bhaava geethamitha ...,Dheera,1982,P Jayachandran,Poovachal Khader,Raghu Kumar
671,672,Madhuram Madhuram Irattimadhuram ...,Irattimadhuram,1982,"P Jayachandran, Vani Jairam, Chorus",Sreekumaran Thampi,Shyam
672,673,Vandi Vandi Vandi Ithu Valiya ...,Irattimadhuram,1982,"P Jayachandran, Sujatha Mohan, Vani Jairam, Jolly Abraham",Sreekumaran Thampi,Shyam
673,674,Raaga susmitham pole ...,Kuttikal Sookshikkuka,1982,P Jayachandran,Bharanikkavu Sivakumar,"Jayaram, Damodar"
674,675,Hey dayaakare ...,Kuttikal Sookshikkuka,1982,"P Jayachandran, SP Shailaja",Bharanikkavu Sivakumar,"Jayaram, Damodar"
675,676,Sooryaaya Chandraaya [Shlokam] ...,Kuttikal Sookshikkuka,1982,"P Jayachandran, SP Shailaja",Bharanikkavu Sivakumar,"Jayaram, Damodar"
676,677,Onappoovukal virunnu vannu [Duniyavil Swargathin] ...,Yudham,1983,"P Jayachandran, Jolly Abraham",Poovachal Khader,Shankar Ganesh
677,678,Karimbo kaniyo ...,Yudham,1983,"P Jayachandran, Vani Jairam",Poovachal Khader,Shankar Ganesh
678,679,Vaippin karayile ...,Deepaaradhana,1983,P Jayachandran,Poovachal Khader,AT Ummer
679,680,Kadalamme thiraveeshi ...,Arabikkadal,1983,"P Jayachandran, Chorus",Poovachal Khader,MK Arjunan
680,681,Manavaattippenne ...,Belt Mathai,1983,"P Jayachandran, Sujatha Mohan, Unni Menon, KP Brahmanandan, Adoor Bhasi",Poovachal Khader,Raveendran
681,682,Swarga Vaathil Thurannu Thannu ...,Iniyenkilum,1983,"S Janaki, P Jayachandran, Vani Jairam, Unni Menon, JM Raju, Kausalya, Krishnachandran",Yusufali Kecheri,Shyam
682,683,Kavithe Devi [Ee Naadu Kadalum Karayum] ...,Iniyenkilum,1983,"P Jayachandran, Vani Jairam, Chorus",Yusufali Kecheri,Shyam
683,684,Pranaya swaram hrudaya swaram ...,Naanayam,1983,"P Jayachandran, Krishnachandran",Poovachal Khader,Shyam
684,685,Pom Pom Ee Jeeppinu Madamilaki ...,Naanayam,1983,"KJ Yesudas, P Jayachandran",Yusufali Kecheri,Shyam
685,686,Pranayaswaram Hridayaswaram [Bit] ...,Naanayam,1983,"P Susheela, P Jayachandran",Poovachal Khader,Shyam
686,687,Mohini priyaroopini ...,Rathilayam,1983,P Jayachandran,Poovachal Khader,MG Radhakrishnan
687,688,Saayoojyam Ekaantha Saayoojyam ...,Kaikeyi,1983,P Jayachandran,Poovachal Khader,MS Viswanathan
688,689,Graampoo Manam ...,Kaattaruvi,1983,"P Jayachandran, P Madhuri",AP Gopalan,G Devarajan
689,690,Prabhaamayi ...,Lekhayude Maranam Oru Flashback,1983,"P Jayachandran, Selma George",ONV Kurup,MB Sreenivasan
690,691,Alanjori choodum ...,Bhookambam,1983,"P Jayachandran, Vani Jairam",Bichu Thirumala,Shankar Ganesh
691,692,Chaavi Puthiya Chaavi ...,Samrambham,1983,P Jayachandran,Pappanamkodu Lakshmanan,KJ Joy
692,693,Poovum poomukilum ...,Samrambham,1983,"P Jayachandran, Vani Jairam",Poovachal Khader,KJ Joy
693,694,Kanni veyilu ...,Ee Vazhi Maathram,1983,"S Janaki, P Jayachandran",Kallada Sasi,Shyam
694,695,Naayika nee ...,Ee Vazhi Maathram,1983,P Jayachandran,Kallada Sasi,Shyam
695,696,Moham kondu njan ...,Shesham Kaazhchayil,1983,P Jayachandran,Konniyoor Bhas,Johnson
696,697,Kaatte kaatte ...,Oomakkuyil,1983,"S Janaki, P Jayachandran, Krishnachandran",ONV Kurup,Ilayaraja
697,698,En manassil [M] ...,Marakkilorikkalum,1983,P Jayachandran,Jamal Kochangadi,Zero Babu
698,699,Nakshathrangal chimmum ...,Marakkilorikkalum,1983,"P Jayachandran, Vani Jairam",Bichu Thirumala,Zero Babu
699,700,Maraala midhunangale ...,Anantham Ajnaatham,1983,P Jayachandran,MN Thankappan,MK Arjunan
700,701,Therirangiyithile varoo ...,America America,1983,"S Janaki, P Jayachandran",Bichu Thirumala,Shyam
701,702,Deepam Thilangi ...,Vaashi,1983,"P Jayachandran, Chorus",Mankombu Gopalakrishnan,Raveendran
702,703,Maankannu thudichu ...,Ankam,1983,P Jayachandran,Pappanamkodu Lakshmanan,Shankar Ganesh
703,704,Sharathkaalangal Ithal Choodunnatho ...,Ankam,1983,"P Jayachandran, Vani Jairam",Pappanamkodu Lakshmanan,Shankar Ganesh
704,705,Thaarunyam thazhukiyunarthiya ...,Thimingalam,1983,P Jayachandran,Chunakkara Ramankutty,G Devarajan
705,706,Maampoo choodiya makaram ...,Aadyathe Anuraagam,1983,P Jayachandran,Madhu Alappuzha,Raveendran
706,707,Kadhaparayaam ...,Aadhipathyam,1983,"P Jayachandran, Krishnachandran",Sreekumaran Thampi,Shyam
707,708,Urangaatha raavukal ...,Aadhipathyam,1983,"P Jayachandran, Vani Jairam",Sreekumaran Thampi,Shyam
708,709,Pularikal Paravakal ...,Enne Njaan Thedunnu,1983,"P Jayachandran, Vani Jairam",Bichu Thirumala,AT Ummer
709,710,Shilayil Ninnoru ...,Thaavalam,1983,"P Susheela, P Jayachandran",Poovachal Khader,Johnson
710,711,Paaduvathenthe ...,Himam,1983,"P Jayachandran, AV Ramanan",Bichu Thirumala,Shyam
711,712,Lillippookkalaadum ...,Himam,1983,"S Janaki, P Jayachandran",Bichu Thirumala,Shyam
712,713,Gomedakam ...,Himam,1983,"KJ Yesudas, P Jayachandran",Bichu Thirumala,Shyam
713,714,Elam Pookkum kaalam vannu ...,Saagaram Shaantham,1983,"S Janaki, P Jayachandran",ONV Kurup,MB Sreenivasan
714,715,Police Namukku ...,Justice Raja,1983,"P Jayachandran, Kalyani Menon",Poovachal Khader,Gangai Amaran
715,716,Paalaazhippoomanke ...,Prasnam Gurutharam,1983,"P Jayachandran, Vani Jairam",Bichu Thirumala,Raveendran
716,717,Poovil Poompaatta (Bit) ...,Prasnam Gurutharam,1983,P Jayachandran,Bichu Thirumala,Raveendran
717,718,May maasa souvarnna pushpangalo ...,Swapnalokam,1983,"P Jayachandran, Sherin Peters",ONV Kurup,Jerry Amaldev
718,719,Chaavu Mani Chaakkala Mani ...,Arunayude Prabhaatham,1983,"P Jayachandran, CO Anto",Kavalam Narayana Panicker,MK Arjunan
719,720,Monchaaya Monchellam ...,Kannaadikkoodu,1983,"P Jayachandran, Siballa Sadanandan",PT Abdurahiman,Vadakara Krishnadas
720,721,Anbanbaay Saranam ...,Snehabandham,1983,"P Jayachandran, Vani Jairam",Poovachal Khader,Gangai Amaran
721,722,Jeevane ...,Snehabandham,1983,"P Jayachandran, Krishnachandran",Poovachal Khader,Gangai Amaran
722,723,Va Va En Veene Nee ...,Snehabandham,1983,"P Jayachandran, Vani Jairam",Poovachal Khader,Gangai Amaran
723,724,Kannan Thante Swanthamalle [D] ...,Raagasangamam,1983,"P Jayachandran, P Madhuri",Mankombu Gopalakrishnan,Kishore
724,725,Chumma Ninneedale ...,Vasantholsavam,1983,"S Janaki, P Jayachandran",Poovachal Khader,Ilayaraja
725,726,Njaanayee Njaanilla Dhanye ...,Vasantholsavam,1983,P Jayachandran,Poovachal Khader,Ilayaraja
726,727,Urangaathe Chumma Urangathe ...,Vasantholsavam,1983,P Jayachandran,Poovachal Khader,Ilayaraja
727,728,Kanneerkkadalinu ...,Ulppathi,1984,"P Jayachandran, Chorus",PT Abdurahiman,AT Ummer
728,729,Atham Chithira Chothi ...,Kudumbam Enna Swargam Bhaarya Oru Devatha,1984,"P Jayachandran, Vani Jairam, Chorus",P Bhaskaran,Shyam
729,730,Sindooramekhangal ...,Ariyaatha Veedhikal,1984,P Jayachandran,Poovachal Khader,MS Viswanathan
730,731,Devi ...,Niraparaadhi,1984,"P Jayachandran, Vani Jairam",Poovachal Khader,Shankar Ganesh
731,732,Doore saagaram ...,Alakadalinnakkare,1984,"KJ Yesudas, P Jayachandran",Mankombu Gopalakrishnan,Gangai Amaran
732,733,Vaanil Mukilala ...,Alakadalinnakkare,1984,"KJ Yesudas, P Jayachandran, Vani Jairam, Chorus",Poovachal Khader,Gangai Amaran
733,734,Kilukkaam petti ...,Koottinilamkili,1984,"S Janaki, P Jayachandran",Chunakkara Ramankutty,Shyam
734,735,Minnam minnam ...,Athiraathram,1984,"P Jayachandran, Vani Jairam",Kavalam Narayana Panicker,MS Viswanathan
735,736,Karaaravinda [Bit] ...,Krishna Guruvaayoorappa,1984,P Jayachandran,,V Dakshinamoorthy
736,737,Yaamam Laharithan Yaamam ...,Jeevitham,1984,"KJ Yesudas, S Janaki, P Jayachandran",Poovachal Khader,Gangai Amaran
737,738,Manimekha Radhameri ...,Jeevitham,1984,"P Susheela, P Jayachandran",Poovachal Khader,Gangai Amaran
738,739,Pinangunnuvo ...,Enganeyundashaane,1984,P Jayachandran,Balu Kiriyath,Raveendran
739,740,Radhe ninte krishnan ...,Umaanilayam,1984,"P Jayachandran, Vani Jairam",Poovachal Khader,Shyam
740,741,Thottunokkiyal ...,Umaanilayam,1984,"S Janaki, P Jayachandran",Poovachal Khader,Shyam
741,742,Penne neeyen ...,Umaanilayam,1984,"P Jayachandran, Vani Jairam, Unni Menon",Poovachal Khader,Shyam
742,743,Karutha Thonikkaara ...,Aksharangal,1984,"S Janaki, P Jayachandran",ONV Kurup,Shyam
743,744,Oro thaazhvaravum ...,Swanthamevide Bandhamevide,1984,"P Jayachandran, Vani Jairam",Poovachal Khader,Johnson
744,745,Naavaamukundante ...,Kalkki,1984,P Jayachandran,Malayattoor Ramakrishnan,G Devarajan
745,746,Manassum manchalum ...,Kalkki,1984,P Jayachandran,Kaniyapuram Ramachandran,G Devarajan
746,747,Vaarmegha Varnnante ...,Saagara Sangamam,1983,"P Jayachandran, P Madhuri",Sreekumaran Thampi,Ilayaraja
747,748,Mounam Polum Madhuram ...,Saagara Sangamam,1983,"S Janaki, P Jayachandran",Sreekumaran Thampi,Ilayaraja
748,749,Thakida Thadhimi ...,Saagara Sangamam,1983,"P Jayachandran, Chorus",Sreekumaran Thampi,Ilayaraja
749,750,Maanyamahaajanangale ...,Maanyamahaajanangale,1985,"P Jayachandran, Unni Menon, CO Anto",Poovachal Khader,Shyam
750,751,Illikkombil ...,Ivide Ee Theerathu,1985,"P Jayachandran, Chorus",Bichu Thirumala,AT Ummer
751,752,Athappoo Vayalile ...,Bindu,1985,"P Jayachandran, Chorus",Bharanikkavu Sivakumar,"Peter (Paramasivam), Reuben"
752,753,Kadalippoovinte ...,Bindu,1985,"S Janaki, P Jayachandran",Bharanikkavu Sivakumar,"Peter (Paramasivam), Reuben"
753,754,Hare Rama Hare Krishna ...,Ente Ponnumol,1985,"P Jayachandran, Vani Jairam, Chorus",Poovachal Khader,Shankar Ganesh
754,755,Kuthira Pole ...,Muthaaramkunnu P.O,1985,"P Jayachandran, Unni Menon, Krishnachandran",Chunakkara Ramankutty,Shyam
755,756,Karimbin Poovinakkare ...,Karimbinpoovinakkare,1985,"P Jayachandran, Chorus, Krishnachandran",Bichu Thirumala,Shyam
756,757,Maancholakkuyile ...,Karimbinpoovinakkare,1985,"KS Chithra, P Jayachandran",Bichu Thirumala,Shyam
757,758,Thathintha ...,Karimbinpoovinakkare,1985,"P Jayachandran, Chorus",Bichu Thirumala,Shyam
758,759,Premichu Poy Ninne ...,Aram+Aram=Kinnaram,1985,"P Jayachandran, Unni Menon, Miss Reddy",Poovachal Khader,Raghu Kumar
759,760,Cherunnu njangalonnaay ...,Kadha Ithuvare,1985,"P Jayachandran, CO Anto, Krishnachandran",Poovachal Khader,Johnson
760,761,Pokaathe Pokaathe ...,Angaadikkappurathu,1985,"Bichu Thirumala, P Jayachandran, Krishnachandran",Bichu Thirumala,Shyam
761,762,Aanaayaal Kudikkenam ...,Ambada Njaane,1985,"P Jayachandran, CO Anto",Poovachal Khader,MK Arjunan
762,763,Raagaardra Hamsangalaam ...,Choraykku Chora,1985,"P Jayachandran, Lathika",Bharanikkavu Sivakumar,Guna Singh
763,764,Moovanthipponnambalathin ...,Daivatheyorthu,1985,"P Jayachandran, Chorus",Kavalam Narayana Panicker,MG Radhakrishnan
764,765,Kakka kakka kaavathi kaakke ...,Daivatheyorthu,1985,"P Jayachandran, Chithrakala",Kavalam Narayana Panicker,MG Radhakrishnan
765,766,Daaham ...,Theerathinariyumo Thirayude vedana,1988,"P Jayachandran, Lathika",Thomas Parannoor,Johnson
766,767,Oraayiram ...,Oru Sandesham Koodi,1985,"S Janaki, P Jayachandran",RK Damodaran,Shyam
767,768,Kaalanillakkaalam ...,Thozhil Allengil Jail,1985,"P Jayachandran, Ambili, CO Anto",Kaniyapuram Ramachandran,MK Arjunan
768,769,Vaanam Thookum ...,Ottayaan,1985,P Jayachandran,Bharanikkavu Sivakumar,Guna Singh
769,770,Azhakil Ozhuki ...,Prathikaarajwaala,1985,"P Jayachandran, Lathika",Poovachal Khader,Ilayaraja
770,771,Oru Jyothiyaay ...,Prathikaarajwaala,1985,"P Jayachandran, Chorus",Poovachal Khader,Ilayaraja
771,772,Enthinaayi Vennila ...,Prathikaarajwaala,1985,"P Jayachandran, Lathika",Poovachal Khader,Ilayaraja
772,773,Thalaanku Dhimtha ...,Prathikaarajwaala,1985,"P Jayachandran, Chorus",Poovachal Khader,Ilayaraja
