,no,song,movie,year,singers,lyricist,composer
223,224,Thaaram Thudichu ...,Thiruvonam,1975,P Jayachandran,Sreekumaran Thampi,MK Arjunan
224,225,Pachanellin Kathiru ...,Thiruvonam,1975,"P Jayachandran, P Madhuri",Sreekumaran Thampi,MK Arjunan
225,226,Putharikoythappol ...,Ayodhya,1975,"P Jayachandran, P Madhuri, Chorus",P Bhaskaran,G Devarajan
226,227,Vandi Vandi ...,Ayodhya,1975,"P Jayachandran, P Madhuri, Chorus",P Bhaskaran,G Devarajan
227,228,Raaman Sreeraaman ...,Ayodhya,1975,P Jayachandran,P Bhaskaran,G Devarajan
228,229,Mayilppeelikkannile Kalayevide ...,Sooryavamsham,1975,P Jayachandran,Vayalar,MK Arjunan
229,230,Neelakkannukalo..Thottene Njan ...,Kottaaram Vilkkaanundu,1975,"P Jayachandran, P Madhuri",Vayalar,G Devarajan
230,231,Whisky Kudikkaan ...,Kottaaram Vilkkaanundu,1975,P Jayachandran,Vayalar,G Devarajan
231,232,Theyyam Theyyam Thare ...,Neelapponmaan,1975,"P Susheela, P Jayachandran, Chorus",Vayalar,Salil Chowdhury
232,233,Chellu Chellu Menake ...,Tourist Bunglow,1975,P Jayachandran,ONV Kurup,MK Arjunan
233,234,Nightingale ...,Chuvanna Sandhyakal,1975,P Jayachandran,Vayalar,G Devarajan
234,235,Shilpikal Nammal ...,Picnic,1975,"P Jayachandran, P Madhuri, Chorus",Sreekumaran Thampi,MK Arjunan
235,236,Kudu Kudu Paadi Varaam ...,Picnic,1975,"P Jayachandran, P Madhuri",Sreekumaran Thampi,MK Arjunan
236,237,Thenpoove Neeyoralpam ...,Picnic,1975,"P Jayachandran, P Madhuri",Sreekumaran Thampi,MK Arjunan
237,238,Kanmaniye Urangoo ...,Abhimaanam,1975,"P Jayachandran, P Madhuri",Sreekumaran Thampi,AT Ummer
238,239,Kanninu Karuppu ...,Sammaanam,1975,"P Jayachandran, Jayashree",Vayalar,V Dakshinamoorthy
239,240,Kandam Vechoru Kottitta ...,Maanishaada,1975,"P Jayachandran, B Vasantha, Latha Raju",Vayalar,G Devarajan
240,241,Life Is Wonderful ...,Pravaaham,1975,P Jayachandran,Sreekumaran Thampi,MK Arjunan
241,242,Pushpaangade ...,Enikku Nee Mathram,1975,P Jayachandran,Vayalar,G Devarajan
242,243,Kalabhachuvaru Vecha Meda ...,Aval Oru Thudarkadha,1975,"P Jayachandran, Pattom Sadan",Vayalar,MS Viswanathan
